origin,dest,count
LAMPA,COLINA,882
LAMPA,QUILICURA,982
LAMPA,SANTIAGO,806
LAS CONDES,COLINA,3349
LAS CONDES,LA FLORIDA,823
LAS CONDES,LA REINA,3041
LAS CONDES,LO BARNECHEA,6050
LAS CONDES,NUNOA,4848
LAS CONDES,PENALOLEN,1267
LAS CONDES,PROVIDENCIA,6372
LAS CONDES,SANTIAGO,2384
LAS CONDES,VINA DEL MAR,1315
LAS CONDES,VITACURA,7334
LINARES,TALCA,961
LO BARNECHEA,LAS CONDES,3620
LO BARNECHEA,VITACURA,2885
LO ESPEJO,LA CISTERNA,1039
LO ESPEJO,MAIPU,1042
LO ESPEJO,PEDRO AGUIRRE CERDA,809
LO ESPEJO,SAN BERNARDO,1092
LO ESPEJO,SANTIAGO,830
LO PRADO,CERRO NAVIA,927
LO PRADO,ESTACION CENTRAL,1133
LO PRADO,MAIPU,1353
LO PRADO,PUDAHUEL,2291
LO PRADO,QUINTA NORMAL,1035
LO PRADO,SANTIAGO,1257
LOS ANDES,CALLE LARGA,1426
LOS ANDES,SAN ESTEBAN,1249
LOS ANGELES,CONCEPCION,2188
LOTA,CORONEL,2413
MACHALI,RANCAGUA,2141
MACUL,LA FLORIDA,3508
MACUL,NUNOA,3027
MACUL,PENALOLEN,2481
MACUL,PUENTE ALTO,2218
MACUL,SAN MIGUEL,803
MACUL,SANTIAGO,1775
MAIPU,BUIN,1005
MAIPU,CERRILLOS,2560
MAIPU,ESTACION CENTRAL,3369
MAIPU,LA CISTERNA,948
MAIPU,LA FLORIDA,1864
MAIPU,LAMPA,1301
MAIPU,LAS CONDES,1077
MAIPU,LO PRADO,863
MAIPU,MACUL,905
MAIPU,MELIPILLA,966
MAIPU,NUNOA,2703
MAIPU,PADRE HURTADO,6205
MAIPU,PENAFLOR,1652
MAIPU,PROVIDENCIA,1280
MAIPU,PUDAHUEL,3270
MAIPU,PUENTE ALTO,1523
MAIPU,QUINTA NORMAL,1199
MAIPU,SAN BERNARDO,1176
MAIPU,SAN MIGUEL,2008
MAIPU,SANTIAGO,6038
MAIPU,TALAGANTE,861
MAULE,TALCA,1627
MELIPILLA,SANTIAGO,910
NUEVA IMPERIAL,TEMUCO,1034
NUNOA,COLINA,1435
NUNOA,LA FLORIDA,2804
NUNOA,LA REINA,3376
NUNOA,LAS CONDES,5240
NUNOA,MACUL,3754
NUNOA,MAIPU,820
NUNOA,PENALOLEN,4077
NUNOA,PROVIDENCIA,5802
NUNOA,PUENTE ALTO,1372
NUNOA,SAN MIGUEL,1202
NUNOA,SANTIAGO,5128
NUNOA,VINA DEL MAR,916
OSORNO,PUERTO MONTT,1533
OSORNO,SAN PABLO,849
OSORNO,VALDIVIA,919
OVALLE,COQUIMBO,1119
OVALLE,LA SERENA,1960
PADRE HURTADO,MAIPU,1539
PADRE LAS CASAS,TEMUCO,2777
PAINE,BUIN,1396
PEDRO AGUIRRE CERDA,CERRILLOS,963
PEDRO AGUIRRE CERDA,MAIPU,1187
PEDRO AGUIRRE CERDA,SAN MIGUEL,1567
PEDRO AGUIRRE CERDA,SANTIAGO,1093
PENAFLOR,MAIPU,826
PENAFLOR,PADRE HURTADO,933
PENAFLOR,TALAGANTE,1094
PENALOLEN,LA FLORIDA,4311
PENALOLEN,LA REINA,1362
PENALOLEN,LAS CONDES,1422
PENALOLEN,MACUL,2383
PENALOLEN,NUNOA,2909
PENALOLEN,PROVIDENCIA,906
PENALOLEN,PUENTE ALTO,2628
PENALOLEN,SANTIAGO,2047
PENCO,CONCEPCION,979
PIRQUE,PUENTE ALTO,1022
PROVIDENCIA,COLINA,1267
PROVIDENCIA,LA REINA,1870
PROVIDENCIA,LAS CONDES,7683
PROVIDENCIA,LO BARNECHEA,906
PROVIDENCIA,NUNOA,7136
PROVIDENCIA,PENALOLEN,865
PROVIDENCIA,SANTIAGO,3693
PROVIDENCIA,VINA DEL MAR,997
PROVIDENCIA,VITACURA,2044
PUDAHUEL,CERRO NAVIA,1813
PUDAHUEL,ESTACION CENTRAL,1835
PUDAHUEL,LAMPA,1505
PUDAHUEL,LO PRADO,1798
PUDAHUEL,MAIPU,4281
PUDAHUEL,PADRE HURTADO,881
PUDAHUEL,PUENTE ALTO,885
PUDAHUEL,QUINTA NORMAL,1236
PUDAHUEL,RENCA,964
PUDAHUEL,SANTIAGO,2675
PUENTE ALTO,BUIN,2215
PUENTE ALTO,EL BOSQUE,935
PUENTE ALTO,ESTACION CENTRAL,854
PUENTE ALTO,LA CISTERNA,1303
PUENTE ALTO,LA FLORIDA,10621
PUENTE ALTO,LA GRANJA,1201
PUENTE ALTO,LA PINTANA,2394
PUENTE ALTO,MACUL,1876
PUENTE ALTO,MAIPU,1549
PUENTE ALTO,NUNOA,2149
PUENTE ALTO,PAINE,981
PUENTE ALTO,PENALOLEN,1596
PUENTE ALTO,PIRQUE,2491
PUENTE ALTO,SAN BERNARDO,2559
PUENTE ALTO,SAN JOAQUIN,989
PUENTE ALTO,SAN MIGUEL,1604
PUENTE ALTO,SANTIAGO,4022
PUERTO MONTT,CALBUCO,923
PUERTO MONTT,OSORNO,1004
PUERTO MONTT,PUERTO VARAS,1356
PUERTO VARAS,PUERTO MONTT,1493
PUNTA ARENAS,VINA DEL MAR,1147
QUILICURA,COLINA,1150
QUILICURA,CONCHALI,1221
QUILICURA,HUECHURABA,860
QUILICURA,INDEPENDENCIA,943
QUILICURA,LAMPA,6224
QUILICURA,RECOLETA,873
QUILICURA,SANTIAGO,2149
QUILLOTA,LA CRUZ,1486
QUILPUE,LIMACHE,1296
QUILPUE,VALPARAISO,1662
QUILPUE,VILLA ALEMANA,6553
QUILPUE,VINA DEL MAR,2963
QUINTA NORMAL,CERRO NAVIA,1509
QUINTA NORMAL,ESTACION CENTRAL,2235
QUINTA NORMAL,LAMPA,875
QUINTA NORMAL,LO PRADO,1169
QUINTA NORMAL,MAIPU,1833
QUINTA NORMAL,PUDAHUEL,1691
QUINTA NORMAL,RENCA,1059
QUINTA NORMAL,SANTIAGO,3779
RANCAGUA,DONIHUE,914
RANCAGUA,GRANEROS,1217
RANCAGUA,MACHALI,4942
RANCAGUA,OLIVAR,862
RANCAGUA,RENGO,1049
RANCAGUA,REQUINOA,1019
RANCAGUA,SANTIAGO,1360
RANCAGUA,VINA DEL MAR,861
RECOLETA,COLINA,889
RECOLETA,CONCHALI,2120
RECOLETA,HUECHURABA,1893
RECOLETA,INDEPENDENCIA,2299
RECOLETA,LAMPA,2089
RECOLETA,MAIPU,919
RECOLETA,NUNOA,902
RECOLETA,PUENTE ALTO,805
RECOLETA,QUILICURA,1795
RECOLETA,SANTIAGO,3070
RENCA,CERRO NAVIA,845
RENCA,LAMPA,1638
RENCA,PUDAHUEL,884
RENCA,QUILICURA,1158
RENCA,QUINTA NORMAL,840
RENCA,SANTIAGO,1474
SAN ANTONIO,SANTO DOMINGO,885
SAN BERNARDO,BUIN,2400
SAN BERNARDO,EL BOSQUE,3385
SAN BERNARDO,LA CISTERNA,1361
SAN BERNARDO,LA FLORIDA,992
SAN BERNARDO,LA PINTANA,1344
SAN BERNARDO,MAIPU,949
SAN BERNARDO,PAINE,915
SAN BERNARDO,PUENTE ALTO,2187
SAN BERNARDO,SAN MIGUEL,1256
SAN BERNARDO,SANTIAGO,2218
SAN CLEMENTE,TALCA,1024
SAN FELIPE,PUTAENDO,1104
SAN FERNANDO,CHIMBARONGO,837
SAN JOAQUIN,LA FLORIDA,1710
SAN JOAQUIN,PUENTE ALTO,1414
SAN JOAQUIN,SAN MIGUEL,1690
SAN JOAQUIN,SANTIAGO,1769
SAN MIGUEL,LA CISTERNA,2453
SAN MIGUEL,LA FLORIDA,1820
SAN MIGUEL,LAS CONDES,898
SAN MIGUEL,MAIPU,1147
SAN MIGUEL,NUNOA,1958
SAN MIGUEL,PEDRO AGUIRRE CERDA,825
SAN MIGUEL,PROVIDENCIA,952
SAN MIGUEL,PUENTE ALTO,1333
SAN MIGUEL,SAN BERNARDO,1187
SAN MIGUEL,SAN JOAQUIN,1281
SAN MIGUEL,SANTIAGO,3193
SAN PEDRO DE LA PAZ,CHIGUAYANTE,966
SAN PEDRO DE LA PAZ,CONCEPCION,3867
SAN PEDRO DE LA PAZ,CORONEL,1029
SAN PEDRO DE LA PAZ,HUALPEN,807
SAN PEDRO DE LA PAZ,TALCAHUANO,1049
SAN RAMON,LA CISTERNA,1293
SAN RAMON,LA GRANJA,978
SAN RAMON,LA PINTANA,1505
SAN RAMON,PUENTE ALTO,1311
SANTIAGO,ANTOFAGASTA,2418
SANTIAGO,ARICA,1666
SANTIAGO,BUIN,1748
SANTIAGO,CALAMA,927
SANTIAGO,CERRILLOS,1603
SANTIAGO,CHILLAN,1967
SANTIAGO,COLINA,2576
SANTIAGO,CONCEPCION,1928
SANTIAGO,CONCHALI,1131
SANTIAGO,COPIAPO,1074
SANTIAGO,COQUIMBO,2390
SANTIAGO,CURICO,1732
SANTIAGO,EL BOSQUE,874
SANTIAGO,ESTACION CENTRAL,5626
SANTIAGO,HUECHURABA,1593
SANTIAGO,INDEPENDENCIA,3389
SANTIAGO,IQUIQUE,1478
SANTIAGO,LA CISTERNA,2267
SANTIAGO,LA FLORIDA,5786
SANTIAGO,LA REINA,1455
SANTIAGO,LA SERENA,2391
SANTIAGO,LAMPA,2655
SANTIAGO,LAS CONDES,4987
SANTIAGO,LINARES,1169
SANTIAGO,LO PRADO,1026
SANTIAGO,LOS ANGELES,2241
SANTIAGO,MACUL,3930
SANTIAGO,MAIPU,4766
SANTIAGO,MELIPILLA,1045
SANTIAGO,NUNOA,16539
SANTIAGO,OSORNO,1474
SANTIAGO,PADRE HURTADO,1169
SANTIAGO,PEDRO AGUIRRE CERDA,959
SANTIAGO,PENALOLEN,1897
SANTIAGO,PROVIDENCIA,7800
SANTIAGO,PUDAHUEL,2038
SANTIAGO,PUENTE ALTO,3774
SANTIAGO,PUERTO MONTT,2926
SANTIAGO,PUERTO VARAS,985
SANTIAGO,PUNTA ARENAS,1089
SANTIAGO,QUILICURA,2077
SANTIAGO,QUILPUE,1353
SANTIAGO,QUINTA NORMAL,3549
SANTIAGO,RANCAGUA,2813
SANTIAGO,RECOLETA,2590
SANTIAGO,RENCA,1129
SANTIAGO,RENGO,858
SANTIAGO,SAN ANTONIO,1048
SANTIAGO,SAN BERNARDO,1993
SANTIAGO,SAN FERNANDO,802
SANTIAGO,SAN JOAQUIN,2617
SANTIAGO,SAN MIGUEL,9023
SANTIAGO,SAN PEDRO DE LA PAZ,966
SANTIAGO,TALCA,2360
SANTIAGO,TEMUCO,2595
SANTIAGO,VALDIVIA,1975
SANTIAGO,VALPARAISO,2610
SANTIAGO,VILLA ALEMANA,999
SANTIAGO,VILLARRICA,1352
SANTIAGO,VINA DEL MAR,3843
TALAGANTE,EL MONTE,1008
TALAGANTE,ISLA DE MAIPO,801
TALAGANTE,PENAFLOR,856
TALCA,CURICO,839
TALCA,MAULE,7049
TALCA,SAN CLEMENTE,1624
TALCAHUANO,CONCEPCION,3472
TALCAHUANO,HUALPEN,2544
TALCAHUANO,SAN PEDRO DE LA PAZ,2452
TEMUCO,FREIRE,896
TEMUCO,LAUTARO,1205
TEMUCO,PADRE LAS CASAS,4581
TEMUCO,VILCUN,1583
TEMUCO,VILLARRICA,1208
TOCOPILLA,ANTOFAGASTA,901
VALDIVIA,MARIQUINA,901
VALDIVIA,PUERTO MONTT,967
VALDIVIA,TEMUCO,804
VALLENAR,LA SERENA,1217
VALPARAISO,LIMACHE,1031
VALPARAISO,QUILPUE,3423
VALPARAISO,SANTIAGO,1506
VALPARAISO,VILLA ALEMANA,3310
VALPARAISO,VINA DEL MAR,7054
VICUNA,LA SERENA,846
VILLA ALEMANA,LIMACHE,1389
VILLA ALEMANA,QUILPUE,3468
VILLA ALEMANA,VALPARAISO,1227
VILLA ALEMANA,VINA DEL MAR,1724
VILLARRICA,TEMUCO,1077
VINA DEL MAR,CONCON,3115
VINA DEL MAR,LAS CONDES,1528
VINA DEL MAR,LIMACHE,1784
VINA DEL MAR,NUNOA,867
VINA DEL MAR,PROVIDENCIA,927
VINA DEL MAR,QUILLOTA,1028
VINA DEL MAR,QUILPUE,6068
VINA DEL MAR,SANTIAGO,1326
VINA DEL MAR,VALPARAISO,6490
VINA DEL MAR,VILLA ALEMANA,4845
VITACURA,COLINA,997
VITACURA,LAS CONDES,5502
VITACURA,LO BARNECHEA,3513
VITACURA,PROVIDENCIA,1282
