origin,dest,count
LO BARNECHEA,PROVIDENCIA,677
LO BARNECHEA,VITACURA,2885
LO ESPEJO,CERRILLOS,799
LO ESPEJO,EL BOSQUE,659
LO ESPEJO,LA CISTERNA,1039
LO ESPEJO,MAIPU,1042
LO ESPEJO,PEDRO AGUIRRE CERDA,809
LO ESPEJO,PUENTE ALTO,656
LO ESPEJO,SAN BERNARDO,1092
LO ESPEJO,SAN MIGUEL,707
LO ESPEJO,SANTIAGO,830
LO PRADO,CERRO NAVIA,927
LO PRADO,ESTACION CENTRAL,1133
LO PRADO,MAIPU,1353
LO PRADO,PUDAHUEL,2291
LO PRADO,QUINTA NORMAL,1035
LO PRADO,SANTIAGO,1257
MACUL,LA FLORIDA,3508
MACUL,LAS CONDES,562
MACUL,MAIPU,595
MACUL,NUNOA,3027
MACUL,PENALOLEN,2481
MACUL,PROVIDENCIA,746
MACUL,PUENTE ALTO,2218
MACUL,SAN JOAQUIN,653
MACUL,SAN MIGUEL,803
MACUL,SANTIAGO,1775
MAIPU,BUIN,1005
MAIPU,CERRILLOS,2560
MAIPU,CERRO NAVIA,739
MAIPU,COLINA,793
MAIPU,COQUIMBO,514
MAIPU,EL BOSQUE,544
MAIPU,ESTACION CENTRAL,3369
MAIPU,INDEPENDENCIA,657
MAIPU,LA CISTERNA,948
MAIPU,LA FLORIDA,1864
MAIPU,LAMPA,1301
MAIPU,LAS CONDES,1077
MAIPU,LO PRADO,863
MAIPU,MACUL,905
MAIPU,MELIPILLA,966
MAIPU,NUNOA,2703
MAIPU,PADRE HURTADO,6205
MAIPU,PEDRO AGUIRRE CERDA,638
MAIPU,PENAFLOR,1652
MAIPU,PENALOLEN,758
MAIPU,PROVIDENCIA,1280
MAIPU,PUDAHUEL,3270
MAIPU,PUENTE ALTO,1523
MAIPU,PUERTO MONTT,591
MAIPU,QUILICURA,741
MAIPU,QUINTA NORMAL,1199
MAIPU,RANCAGUA,539
MAIPU,RECOLETA,667
MAIPU,RENCA,633
MAIPU,SAN BERNARDO,1176
MAIPU,SAN JOAQUIN,528
MAIPU,SAN MIGUEL,2008
MAIPU,SANTIAGO,6038
MAIPU,TALAGANTE,861
MAIPU,VALPARAISO,553
MAIPU,VILLARRICA,662
MAIPU,VINA DEL MAR,555
MELIPILLA,SANTIAGO,910
NUNOA,COLINA,1435
NUNOA,HUECHURABA,721
NUNOA,LA FLORIDA,2804
NUNOA,LA REINA,3376
NUNOA,LAMPA,541
NUNOA,LAS CONDES,5240
NUNOA,MACUL,3754
NUNOA,MAIPU,820
NUNOA,PENALOLEN,4077
NUNOA,PROVIDENCIA,5802
NUNOA,PUENTE ALTO,1372
NUNOA,SAN JOAQUIN,593
NUNOA,SAN MIGUEL,1202
NUNOA,SANTIAGO,5128
NUNOA,VINA DEL MAR,916
NUNOA,VITACURA,699
PADRE HURTADO,MAIPU,1539
PADRE HURTADO,PENAFLOR,599
PAINE,BUIN,1396
PEDRO AGUIRRE CERDA,CERRILLOS,963
PEDRO AGUIRRE CERDA,ESTACION CENTRAL,600
PEDRO AGUIRRE CERDA,LA CISTERNA,621
PEDRO AGUIRRE CERDA,LA FLORIDA,519
PEDRO AGUIRRE CERDA,LO ESPEJO,778
PEDRO AGUIRRE CERDA,MAIPU,1187
PEDRO AGUIRRE CERDA,PUENTE ALTO,730
PEDRO AGUIRRE CERDA,SAN BERNARDO,702
PEDRO AGUIRRE CERDA,SAN MIGUEL,1567
PEDRO AGUIRRE CERDA,SANTIAGO,1093
PENAFLOR,MAIPU,826
PENAFLOR,PADRE HURTADO,933
PENAFLOR,SANTIAGO,622
PENAFLOR,TALAGANTE,1094
PENALOLEN,LA FLORIDA,4311
PENALOLEN,LA REINA,1362
PENALOLEN,LAS CONDES,1422
PENALOLEN,MACUL,2383
PENALOLEN,MAIPU,753
PENALOLEN,NUNOA,2909
PENALOLEN,PROVIDENCIA,906
PENALOLEN,PUENTE ALTO,2628
PENALOLEN,SAN BERNARDO,524
PENALOLEN,SAN MIGUEL,592
PENALOLEN,SANTIAGO,2047
PIRQUE,PUENTE ALTO,1022
PROVIDENCIA,COLINA,1267
PROVIDENCIA,LA FLORIDA,775
PROVIDENCIA,LA REINA,1870
PROVIDENCIA,LAS CONDES,7683
PROVIDENCIA,LO BARNECHEA,906
PROVIDENCIA,MACUL,796
PROVIDENCIA,NUNOA,7136
PROVIDENCIA,PENALOLEN,865
PROVIDENCIA,SAN MIGUEL,601
PROVIDENCIA,SANTIAGO,3693
PROVIDENCIA,VINA DEL MAR,997
PROVIDENCIA,VITACURA,2044
PUDAHUEL,BUIN,515
PUDAHUEL,CERRILLOS,576
PUDAHUEL,CERRO NAVIA,1813
PUDAHUEL,COLINA,568
PUDAHUEL,ESTACION CENTRAL,1835
PUDAHUEL,LA FLORIDA,735
PUDAHUEL,LAMPA,1505
PUDAHUEL,LO PRADO,1798
PUDAHUEL,MAIPU,4281
PUDAHUEL,NUNOA,744
PUDAHUEL,PADRE HURTADO,881
PUDAHUEL,PUENTE ALTO,885
PUDAHUEL,QUILICURA,735
PUDAHUEL,QUINTA NORMAL,1236
PUDAHUEL,RENCA,964
PUDAHUEL,SAN BERNARDO,545
PUDAHUEL,SAN MIGUEL,659
PUDAHUEL,SANTIAGO,2675
PUENTE ALTO,BUIN,2215
PUENTE ALTO,COLINA,713
PUENTE ALTO,EL BOSQUE,935
PUENTE ALTO,ESTACION CENTRAL,854
PUENTE ALTO,LA CISTERNA,1303
PUENTE ALTO,LA FLORIDA,10621
PUENTE ALTO,LA GRANJA,1201
PUENTE ALTO,LA PINTANA,2394
PUENTE ALTO,LAMPA,762
PUENTE ALTO,LAS CONDES,676
PUENTE ALTO,LOS ANGELES,534
PUENTE ALTO,MACUL,1876
PUENTE ALTO,MAIPU,1549
PUENTE ALTO,NUNOA,2149
PUENTE ALTO,PAINE,981
PUENTE ALTO,PEDRO AGUIRRE CERDA,508
PUENTE ALTO,PENALOLEN,1596
PUENTE ALTO,PIRQUE,2491
PUENTE ALTO,PROVIDENCIA,740
PUENTE ALTO,PUDAHUEL,656
PUENTE ALTO,PUERTO MONTT,567
PUENTE ALTO,QUILICURA,547
PUENTE ALTO,RANCAGUA,583
PUENTE ALTO,RECOLETA,529
PUENTE ALTO,SAN BERNARDO,2559
PUENTE ALTO,SAN JOAQUIN,989
PUENTE ALTO,SAN JOSE DE MAIPO,712
PUENTE ALTO,SAN MIGUEL,1604
PUENTE ALTO,SAN RAMON,729
PUENTE ALTO,SANTIAGO,4022
PUENTE ALTO,VALPARAISO,521
PUENTE ALTO,VILLARRICA,751
QUILICURA,COLINA,1150
QUILICURA,CONCHALI,1221
QUILICURA,ESTACION CENTRAL,539
QUILICURA,HUECHURABA,860
QUILICURA,INDEPENDENCIA,943
QUILICURA,LA FLORIDA,514
QUILICURA,LAMPA,6224
QUILICURA,MAIPU,744
QUILICURA,NUNOA,594
QUILICURA,PUDAHUEL,590
QUILICURA,RECOLETA,873
QUILICURA,RENCA,749
QUILICURA,SANTIAGO,2149
QUINTA NORMAL,CERRILLOS,523
QUINTA NORMAL,CERRO NAVIA,1509
QUINTA NORMAL,ESTACION CENTRAL,2235
QUINTA NORMAL,INDEPENDENCIA,693
QUINTA NORMAL,LA FLORIDA,753
QUINTA NORMAL,LAMPA,875
QUINTA NORMAL,LO PRADO,1169
QUINTA NORMAL,MAIPU,1833
QUINTA NORMAL,NUNOA,701
QUINTA NORMAL,PUDAHUEL,1691
QUINTA NORMAL,PUENTE ALTO,751
QUINTA NORMAL,QUILICURA,649
QUINTA NORMAL,RENCA,1059
QUINTA NORMAL,SAN MIGUEL,775
QUINTA NORMAL,SANTIAGO,3779
RECOLETA,COLINA,889
RECOLETA,CONCHALI,2120
RECOLETA,ESTACION CENTRAL,676
RECOLETA,HUECHURABA,1893
RECOLETA,INDEPENDENCIA,2299
RECOLETA,LA FLORIDA,692
RECOLETA,LAMPA,2089
RECOLETA,MAIPU,919
RECOLETA,NUNOA,902
RECOLETA,PROVIDENCIA,598
RECOLETA,PUENTE ALTO,805
RECOLETA,QUILICURA,1795
RECOLETA,QUINTA NORMAL,627
RECOLETA,RENCA,736
RECOLETA,SAN MIGUEL,621
RECOLETA,SANTIAGO,3070
RENCA,CERRO NAVIA,845
RENCA,ESTACION CENTRAL,512
RENCA,INDEPENDENCIA,780
RENCA,LAMPA,1638
RENCA,MAIPU,787
RENCA,PUDAHUEL,884
RENCA,PUENTE ALTO,555
RENCA,QUILICURA,1158
RENCA,QUINTA NORMAL,840
RENCA,SANTIAGO,1474
SAN BERNARDO,BUIN,2400
SAN BERNARDO,CALERA DE TANGO,632
SAN BERNARDO,EL BOSQUE,3385
SAN BERNARDO,ESTACION CENTRAL,565
SAN BERNARDO,LA CISTERNA,1361
SAN BERNARDO,LA FLORIDA,992
SAN BERNARDO,LA PINTANA,1344
SAN BERNARDO,MAIPU,949
SAN BERNARDO,NUNOA,699
SAN BERNARDO,PAINE,915
SAN BERNARDO,PUENTE ALTO,2187
SAN BERNARDO,SAN MIGUEL,1256
SAN BERNARDO,SANTIAGO,2218
SAN JOAQUIN,LA FLORIDA,1710
SAN JOAQUIN,LA GRANJA,673
SAN JOAQUIN,MACUL,759
SAN JOAQUIN,MAIPU,553
SAN JOAQUIN,NUNOA,765
SAN JOAQUIN,PUENTE ALTO,1414
SAN JOAQUIN,SAN MIGUEL,1690
SAN JOAQUIN,SANTIAGO,1769
SAN MIGUEL,BUIN,800
SAN MIGUEL,COLINA,621
SAN MIGUEL,EL BOSQUE,545
SAN MIGUEL,ESTACION CENTRAL,737
SAN MIGUEL,LA CISTERNA,2453
SAN MIGUEL,LA FLORIDA,1820
SAN MIGUEL,LAMPA,567
SAN MIGUEL,LAS CONDES,898
SAN MIGUEL,MACUL,699
SAN MIGUEL,MAIPU,1147
SAN MIGUEL,NUNOA,1958
SAN MIGUEL,PEDRO AGUIRRE CERDA,825
SAN MIGUEL,PENALOLEN,575
SAN MIGUEL,PROVIDENCIA,952
SAN MIGUEL,PUENTE ALTO,1333
SAN MIGUEL,SAN BERNARDO,1187
SAN MIGUEL,SAN JOAQUIN,1281
SAN MIGUEL,SANTIAGO,3193
SAN RAMON,EL BOSQUE,627
SAN RAMON,LA CISTERNA,1293
SAN RAMON,LA FLORIDA,699
SAN RAMON,LA GRANJA,978
SAN RAMON,LA PINTANA,1505
SAN RAMON,PUENTE ALTO,1311
SAN RAMON,SAN BERNARDO,794
SAN RAMON,SAN MIGUEL,575
SAN RAMON,SANTIAGO,613
SANTIAGO,ALGARROBO,600
SANTIAGO,ALTO HOSPICIO,544
SANTIAGO,ANGOL,599
SANTIAGO,ANTOFAGASTA,2418
SANTIAGO,ARICA,1666
SANTIAGO,BUIN,1748
SANTIAGO,CALAMA,927
SANTIAGO,CAUQUENES,591
SANTIAGO,CERRILLOS,1603
SANTIAGO,CERRO NAVIA,744
SANTIAGO,CHILLAN,1967
SANTIAGO,COLINA,2576
SANTIAGO,CONCEPCION,1928
SANTIAGO,CONCHALI,1131
SANTIAGO,CONCON,692
SANTIAGO,COPIAPO,1074
SANTIAGO,COQUIMBO,2390
SANTIAGO,CORONEL,783
SANTIAGO,COYHAIQUE,653
SANTIAGO,CURICO,1732
SANTIAGO,EL BOSQUE,874
SANTIAGO,EL QUISCO,547
SANTIAGO,EL TABO,544
SANTIAGO,ESTACION CENTRAL,5626
SANTIAGO,HUECHURABA,1593
SANTIAGO,INDEPENDENCIA,3389
SANTIAGO,IQUIQUE,1478
SANTIAGO,LA CISTERNA,2267
SANTIAGO,LA FLORIDA,5786
SANTIAGO,LA GRANJA,774
SANTIAGO,LA PINTANA,669
SANTIAGO,LA REINA,1455
SANTIAGO,LA SERENA,2391
SANTIAGO,LAMPA,2655
SANTIAGO,LAS CONDES,4987
SANTIAGO,LAUTARO,539
SANTIAGO,LIMACHE,526
SANTIAGO,LINARES,1169
SANTIAGO,LO PRADO,1026
SANTIAGO,LOS ANDES,581
SANTIAGO,LOS ANGELES,2241
SANTIAGO,MACHALI,739
SANTIAGO,MACUL,3930
SANTIAGO,MAIPU,4766
SANTIAGO,MAULE,544
SANTIAGO,MELIPILLA,1045
SANTIAGO,NUNOA,16539
SANTIAGO,OSORNO,1474
SANTIAGO,OVALLE,589
SANTIAGO,PADRE HURTADO,1169
SANTIAGO,PADRE LAS CASAS,631
SANTIAGO,PAINE,555
SANTIAGO,PARRAL,721
SANTIAGO,PEDRO AGUIRRE CERDA,959
SANTIAGO,PENAFLOR,757
SANTIAGO,PENALOLEN,1897
SANTIAGO,PROVIDENCIA,7800
SANTIAGO,PUCON,787
SANTIAGO,PUDAHUEL,2038
SANTIAGO,PUENTE ALTO,3774
SANTIAGO,PUERTO MONTT,2926
SANTIAGO,PUERTO VARAS,985
SANTIAGO,PUNTA ARENAS,1089
SANTIAGO,QUILICURA,2077
SANTIAGO,QUILLOTA,691
SANTIAGO,QUILPUE,1353
SANTIAGO,QUINTA NORMAL,3549
SANTIAGO,QUINTERO,569
SANTIAGO,RANCAGUA,2813
SANTIAGO,RECOLETA,2590
SANTIAGO,RENCA,1129
SANTIAGO,RENGO,858
SANTIAGO,RIO BUENO,543
SANTIAGO,SAN ANTONIO,1048
SANTIAGO,SAN BERNARDO,1993
SANTIAGO,SAN CARLOS,537
SANTIAGO,SAN CLEMENTE,590
SANTIAGO,SAN FELIPE,658
SANTIAGO,SAN FERNANDO,802
SANTIAGO,SAN JAVIER,621
SANTIAGO,SAN JOAQUIN,2617
SANTIAGO,SAN MIGUEL,9023
SANTIAGO,SAN PEDRO DE LA PAZ,966
SANTIAGO,SAN VICENTE,597
SANTIAGO,SANTA CRUZ,503
SANTIAGO,TALAGANTE,624
SANTIAGO,TALCA,2360
SANTIAGO,TALCAHUANO,769
SANTIAGO,TEMUCO,2595
SANTIAGO,TOME,515
SANTIAGO,VALDIVIA,1975
SANTIAGO,VALPARAISO,2610
SANTIAGO,VILLA ALEMANA,999
SANTIAGO,VILLARRICA,1352
SANTIAGO,VINA DEL MAR,3843
SANTIAGO,VITACURA,603
TALAGANTE,EL MONTE,1008
TALAGANTE,ISLA DE MAIPO,801
TALAGANTE,PENAFLOR,856
VITACURA,COLINA,997
VITACURA,LAS CONDES,5502
VITACURA,LO BARNECHEA,3513
VITACURA,NUNOA,634
VITACURA,PROVIDENCIA,1282
