origin,dest,count
ALGARROBO,ALGARROBO,10376
ALGARROBO,CASABLANCA,70
ALGARROBO,EL QUISCO,255
ALGARROBO,EL TABO,43
ALGARROBO,LA FLORIDA,62
ALGARROBO,LAS CONDES,57
ALGARROBO,MAIPU,43
ALGARROBO,NUNOA,64
ALGARROBO,PENALOLEN,32
ALGARROBO,PROVIDENCIA,60
ALGARROBO,PUENTE ALTO,37
ALGARROBO,SAN ANTONIO,68
ALGARROBO,SAN MIGUEL,32
ALGARROBO,SANTIAGO,75
ALGARROBO,VALPARAISO,71
ALGARROBO,VINA DEL MAR,131
ALHUE,ALHUE,5784
ALHUE,MELIPILLA,51
ALHUE,SANTIAGO,45
ALTO BIOBIO,ALTO BIOBIO,5360
ALTO BIOBIO,LOS ANGELES,142
ALTO BIOBIO,SANTA BARBARA,126
ALTO DEL CARMEN,ALTO DEL CARMEN,4021
ALTO DEL CARMEN,LA SERENA,54
ALTO DEL CARMEN,VALLENAR,168
ALTO HOSPICIO,ALTO HOSPICIO,99082
ALTO HOSPICIO,ANTOFAGASTA,151
ALTO HOSPICIO,ARICA,430
ALTO HOSPICIO,CALAMA,50
ALTO HOSPICIO,CAMINA,66
ALTO HOSPICIO,CHILLAN,46
ALTO HOSPICIO,COLCHANE,31
ALTO HOSPICIO,CONCEPCION,79
ALTO HOSPICIO,COQUIMBO,160
ALTO HOSPICIO,ESTACION CENTRAL,32
ALTO HOSPICIO,HUARA,104
ALTO HOSPICIO,IQUIQUE,3106
ALTO HOSPICIO,LA SERENA,237
ALTO HOSPICIO,LOS ANGELES,32
ALTO HOSPICIO,OVALLE,79
ALTO HOSPICIO,PICA,158
ALTO HOSPICIO,POZO ALMONTE,568
ALTO HOSPICIO,PUERTO MONTT,32
ALTO HOSPICIO,QUILLOTA,32
ALTO HOSPICIO,QUILPUE,31
ALTO HOSPICIO,SALAMANCA,32
ALTO HOSPICIO,SANTIAGO,78
ALTO HOSPICIO,TALCA,40
ALTO HOSPICIO,TALCAHUANO,35
ALTO HOSPICIO,TEMUCO,37
ALTO HOSPICIO,TOCOPILLA,77
ALTO HOSPICIO,VALDIVIA,38
ALTO HOSPICIO,VALLENAR,41
ALTO HOSPICIO,VALPARAISO,79
ALTO HOSPICIO,VINA DEL MAR,64
ANCUD,ANCUD,34665
ANCUD,CALBUCO,62
ANCUD,CASTRO,188
ANCUD,CHILLAN,36
ANCUD,CHONCHI,49
ANCUD,CONCEPCION,132
ANCUD,DALCAHUE,126
ANCUD,MAULLIN,45
ANCUD,NUNOA,35
ANCUD,OSORNO,97
ANCUD,PUERTO MONTT,586
ANCUD,PUERTO VARAS,59
ANCUD,PUNTA ARENAS,100
ANCUD,QUELLON,88
ANCUD,QUEMCHI,110
ANCUD,SANTIAGO,65
ANCUD,TEMUCO,128
ANCUD,VALDIVIA,204
ANCUD,VALPARAISO,32
ANCUD,VINA DEL MAR,54
ANDACOLLO,ANDACOLLO,9961
ANDACOLLO,COQUIMBO,339
ANDACOLLO,LA SERENA,209
ANDACOLLO,OVALLE,32
ANGOL,ANGOL,44746
ANGOL,CANETE,55
ANGOL,CHILLAN,50
ANGOL,COLLIPULLI,139
ANGOL,CONCEPCION,331
ANGOL,CORONEL,31
ANGOL,HUALPEN,31
ANGOL,LA FLORIDA,31
ANGOL,LAS CONDES,45
ANGOL,LOS ANGELES,308
ANGOL,LOS SAUCES,167
ANGOL,MAIPU,42
ANGOL,NACIMIENTO,43
ANGOL,NEGRETE,86
ANGOL,NUNOA,36
ANGOL,OSORNO,38
ANGOL,PADRE LAS CASAS,46
ANGOL,PROVIDENCIA,39
ANGOL,PUCON,32
ANGOL,PUENTE ALTO,33
ANGOL,PUERTO MONTT,67
ANGOL,PUREN,47
ANGOL,RENAICO,258
ANGOL,SAN PEDRO DE LA PAZ,68
ANGOL,SANTIAGO,77
ANGOL,TALCA,32
ANGOL,TALCAHUANO,78
ANGOL,TEMUCO,586
ANGOL,TRAIGUEN,62
ANGOL,VALDIVIA,56
ANGOL,VALPARAISO,42
ANGOL,VICTORIA,38
ANGOL,VILLARRICA,54
ANGOL,VINA DEL MAR,44
ANTOFAGASTA,ALTO DEL CARMEN,51
ANTOFAGASTA,ALTO HOSPICIO,503
ANTOFAGASTA,ANCUD,42
ANTOFAGASTA,ANDACOLLO,70
ANTOFAGASTA,ANGOL,53
ANTOFAGASTA,ANTOFAGASTA,328154
ANTOFAGASTA,ARICA,1083
ANTOFAGASTA,BUIN,106
ANTOFAGASTA,BULNES,51
ANTOFAGASTA,CABRERO,40
ANTOFAGASTA,CALAMA,1519
ANTOFAGASTA,CALDERA,109
ANTOFAGASTA,CALERA,109
ANTOFAGASTA,CANELA,79
ANTOFAGASTA,CASABLANCA,59
ANTOFAGASTA,CASTRO,38
ANTOFAGASTA,CAUQUENES,67
ANTOFAGASTA,CERRILLOS,63
ANTOFAGASTA,CERRO NAVIA,54
ANTOFAGASTA,CHANARAL,99
ANTOFAGASTA,CHIGUAYANTE,110
ANTOFAGASTA,CHILLAN,339
ANTOFAGASTA,CHILLAN VIEJO,73
ANTOFAGASTA,CHIMBARONGO,32
ANTOFAGASTA,COLBUN,53
ANTOFAGASTA,COLINA,370
ANTOFAGASTA,COLLIPULLI,38
ANTOFAGASTA,COMBARBALA,121
ANTOFAGASTA,CONCEPCION,451
ANTOFAGASTA,CONCHALI,113
ANTOFAGASTA,CONCON,144
ANTOFAGASTA,CONSTITUCION,45
ANTOFAGASTA,COPIAPO,648
ANTOFAGASTA,COQUIMBO,2894
ANTOFAGASTA,CORONEL,107
ANTOFAGASTA,COYHAIQUE,61
ANTOFAGASTA,CURACAVI,42
ANTOFAGASTA,CURICO,150
ANTOFAGASTA,DIEGO DE ALMAGRO,47
ANTOFAGASTA,EL BOSQUE,130
ANTOFAGASTA,ESTACION CENTRAL,231
ANTOFAGASTA,FREIRE,38
ANTOFAGASTA,FREIRINA,79
ANTOFAGASTA,FRUTILLAR,42
ANTOFAGASTA,HIJUELAS,39
ANTOFAGASTA,HUALPEN,83
ANTOFAGASTA,HUASCO,70
ANTOFAGASTA,HUECHURABA,174
ANTOFAGASTA,ILLAPEL,167
ANTOFAGASTA,INDEPENDENCIA,153
ANTOFAGASTA,IQUIQUE,980
ANTOFAGASTA,LA CISTERNA,100
ANTOFAGASTA,LA CRUZ,70
ANTOFAGASTA,LA FLORIDA,315
ANTOFAGASTA,LA GRANJA,35
ANTOFAGASTA,LA LIGUA,60
ANTOFAGASTA,LA PINTANA,57
ANTOFAGASTA,LA REINA,202
ANTOFAGASTA,LA SERENA,3468
ANTOFAGASTA,LA UNION,40
ANTOFAGASTA,LAJA,46
ANTOFAGASTA,LAMPA,111
ANTOFAGASTA,LAS CONDES,1059
ANTOFAGASTA,LAUTARO,34
ANTOFAGASTA,LIMACHE,162
ANTOFAGASTA,LINARES,145
ANTOFAGASTA,LO BARNECHEA,126
ANTOFAGASTA,LO ESPEJO,45
ANTOFAGASTA,LO PRADO,48
ANTOFAGASTA,LONGAVI,35
ANTOFAGASTA,LOS ANDES,97
ANTOFAGASTA,LOS ANGELES,275
ANTOFAGASTA,LOS VILOS,37
ANTOFAGASTA,MACHALI,169
ANTOFAGASTA,MACUL,162
ANTOFAGASTA,MAIPU,345
ANTOFAGASTA,MARIA ELENA,113
ANTOFAGASTA,MAULE,90
ANTOFAGASTA,MEJILLONES,474
ANTOFAGASTA,MELIPILLA,92
ANTOFAGASTA,MOLINA,31
ANTOFAGASTA,MONTE PATRIA,155
ANTOFAGASTA,NOGALES,36
ANTOFAGASTA,NUNOA,782
ANTOFAGASTA,OLMUE,61
ANTOFAGASTA,OSORNO,136
ANTOFAGASTA,OVALLE,902
ANTOFAGASTA,PADRE HURTADO,60
ANTOFAGASTA,PADRE LAS CASAS,80
ANTOFAGASTA,PAINE,57
ANTOFAGASTA,PARRAL,56
ANTOFAGASTA,PEDRO AGUIRRE CERDA,49
ANTOFAGASTA,PENAFLOR,45
ANTOFAGASTA,PENALOLEN,169
ANTOFAGASTA,PENCO,35
ANTOFAGASTA,PITRUFQUEN,48
ANTOFAGASTA,POZO ALMONTE,204
ANTOFAGASTA,PROVIDENCIA,585
ANTOFAGASTA,PUCON,70
ANTOFAGASTA,PUDAHUEL,124
ANTOFAGASTA,PUENTE ALTO,260
ANTOFAGASTA,PUERTO MONTT,359
ANTOFAGASTA,PUERTO VARAS,100
ANTOFAGASTA,PUNITAQUI,184
ANTOFAGASTA,PUNTA ARENAS,151
ANTOFAGASTA,QUILICURA,96
ANTOFAGASTA,QUILLOTA,263
ANTOFAGASTA,QUILPUE,365
ANTOFAGASTA,QUINTA NORMAL,87
ANTOFAGASTA,QUINTERO,93
ANTOFAGASTA,RANCAGUA,284
ANTOFAGASTA,RECOLETA,116
ANTOFAGASTA,RENCA,56
ANTOFAGASTA,RENGO,57
ANTOFAGASTA,RINCONADA,34
ANTOFAGASTA,RIO HURTADO,53
ANTOFAGASTA,SALAMANCA,160
ANTOFAGASTA,SAN ANTONIO,85
ANTOFAGASTA,SAN BERNARDO,163
ANTOFAGASTA,SAN CARLOS,73
ANTOFAGASTA,SAN CLEMENTE,61
ANTOFAGASTA,SAN FELIPE,94
ANTOFAGASTA,SAN FERNANDO,60
ANTOFAGASTA,SAN JAVIER,70
ANTOFAGASTA,SAN JOAQUIN,88
ANTOFAGASTA,SAN MIGUEL,213
ANTOFAGASTA,SAN PEDRO DE ATACAMA,120
ANTOFAGASTA,SAN PEDRO DE LA PAZ,226
ANTOFAGASTA,SAN RAMON,32
ANTOFAGASTA,SANTA CRUZ,40
ANTOFAGASTA,SANTIAGO,1290
ANTOFAGASTA,SIERRA GORDA,39
ANTOFAGASTA,TALAGANTE,43
ANTOFAGASTA,TALCA,338
ANTOFAGASTA,TALCAHUANO,167
ANTOFAGASTA,TALTAL,310
ANTOFAGASTA,TEMUCO,407
ANTOFAGASTA,TOCOPILLA,643
ANTOFAGASTA,TOME,60
ANTOFAGASTA,VALDIVIA,281
ANTOFAGASTA,VALLENAR,470
ANTOFAGASTA,VALPARAISO,522
ANTOFAGASTA,VICTORIA,39
ANTOFAGASTA,VICUNA,189
