origin,dest,count
COPIAPO,CALDERA,997
COPIAPO,COPIAPO,141045
COPIAPO,COQUIMBO,1475
COPIAPO,LA SERENA,2129
COPIAPO,SANTIAGO,544
COPIAPO,VALLENAR,532
COQUIMBO,COQUIMBO,212489
COQUIMBO,LA SERENA,4935
COQUIMBO,OVALLE,674
CORONEL,CONCEPCION,1107
CORONEL,CORONEL,104738
CORONEL,LOTA,738
CORONEL,SAN PEDRO DE LA PAZ,2470
CORRAL,CORRAL,4549
COYHAIQUE,COYHAIQUE,47219
CUNCO,CUNCO,15032
CURACAUTIN,CURACAUTIN,15138
CURACAVI,CURACAVI,28043
CURACO DE VELEZ,CURACO DE VELEZ,3082
CURANILAHUE,CURANILAHUE,27605
CURARREHUE,CURARREHUE,6192
CUREPTO,CUREPTO,8149
CURICO,CURICO,133412
CURICO,MOLINA,910
CURICO,RAUCO,765
CURICO,ROMERAL,1060
CURICO,SANTIAGO,607
CURICO,TALCA,1087
CURICO,TENO,895
DALCAHUE,DALCAHUE,11911
DIEGO DE ALMAGRO,DIEGO DE ALMAGRO,9325
DONIHUE,DONIHUE,17871
DONIHUE,RANCAGUA,521
EL BOSQUE,BUIN,836
EL BOSQUE,EL BOSQUE,123316
EL BOSQUE,LA CISTERNA,2121
EL BOSQUE,LA FLORIDA,736
EL BOSQUE,LA PINTANA,1527
EL BOSQUE,MAIPU,665
EL BOSQUE,PUENTE ALTO,1295
EL BOSQUE,SAN BERNARDO,5725
EL BOSQUE,SAN MIGUEL,1041
EL BOSQUE,SANTIAGO,1239
EL CARMEN,EL CARMEN,10922
EL MONTE,EL MONTE,30673
EL MONTE,TALAGANTE,708
EL QUISCO,EL QUISCO,11864
EL TABO,EL TABO,9679
EMPEDRADO,EMPEDRADO,3417
ERCILLA,ERCILLA,6469
ESTACION CENTRAL,CERRILLOS,2161
ESTACION CENTRAL,ESTACION CENTRAL,102956
ESTACION CENTRAL,INDEPENDENCIA,790
ESTACION CENTRAL,LA CISTERNA,669
ESTACION CENTRAL,LA FLORIDA,1130
ESTACION CENTRAL,LAMPA,702
ESTACION CENTRAL,LO PRADO,1018
ESTACION CENTRAL,MACUL,640
ESTACION CENTRAL,MAIPU,4567
ESTACION CENTRAL,NUNOA,1527
ESTACION CENTRAL,PADRE HURTADO,613
ESTACION CENTRAL,PROVIDENCIA,643
ESTACION CENTRAL,PUDAHUEL,1888
ESTACION CENTRAL,PUENTE ALTO,889
ESTACION CENTRAL,QUILICURA,591
ESTACION CENTRAL,QUINTA NORMAL,1498
ESTACION CENTRAL,RENCA,505
ESTACION CENTRAL,SAN BERNARDO,777
ESTACION CENTRAL,SAN MIGUEL,1679
ESTACION CENTRAL,SANTIAGO,5704
FLORIDA,FLORIDA,9687
FREIRE,FREIRE,20754
FREIRE,TEMUCO,525
FREIRINA,FREIRINA,6165
FRESIA,FRESIA,10042
FRUTILLAR,FRUTILLAR,16145
FUTALEUFU,FUTALEUFU,2196
FUTRONO,FUTRONO,12548
GALVARINO,GALVARINO,10711
GORBEA,GORBEA,11704
GRANEROS,GRANEROS,28448
GRANEROS,RANCAGUA,981
GUAITECAS,GUAITECAS,1217
HIJUELAS,HIJUELAS,15835
HUALAIHUE,HUALAIHUE,7681
HUALANE,HUALANE,8598
HUALPEN,CHIGUAYANTE,719
HUALPEN,CONCEPCION,2750
HUALPEN,HUALPEN,72137
HUALPEN,SAN PEDRO DE LA PAZ,1993
HUALPEN,TALCAHUANO,2011
HUALQUI,CHIGUAYANTE,513
HUALQUI,HUALQUI,21197
HUARA,HUARA,1974
HUASCO,HUASCO,7548
HUECHURABA,COLINA,1172
HUECHURABA,CONCHALI,587
HUECHURABA,HUECHURABA,78851
HUECHURABA,LAMPA,1105
HUECHURABA,LAS CONDES,847
HUECHURABA,NUNOA,525
HUECHURABA,QUILICURA,931
HUECHURABA,RECOLETA,906
HUECHURABA,SANTIAGO,931
ILLAPEL,ILLAPEL,27312
INDEPENDENCIA,COLINA,662
INDEPENDENCIA,CONCHALI,1967
INDEPENDENCIA,ESTACION CENTRAL,1174
INDEPENDENCIA,HUECHURABA,710
INDEPENDENCIA,INDEPENDENCIA,69983
INDEPENDENCIA,LA FLORIDA,890
INDEPENDENCIA,LAMPA,1322
INDEPENDENCIA,MAIPU,888
INDEPENDENCIA,NUNOA,1022
INDEPENDENCIA,PUENTE ALTO,626
INDEPENDENCIA,QUILICURA,1660
INDEPENDENCIA,QUINTA NORMAL,898
INDEPENDENCIA,RECOLETA,2213
INDEPENDENCIA,RENCA,1153
INDEPENDENCIA,SAN MIGUEL,1100
INDEPENDENCIA,SANTIAGO,4688
IQUIQUE,ALTO HOSPICIO,12495
IQUIQUE,ANTOFAGASTA,1431
IQUIQUE,ARICA,1644
IQUIQUE,COQUIMBO,877
IQUIQUE,IQUIQUE,157039
IQUIQUE,LA SERENA,1195
IQUIQUE,LAS CONDES,805
IQUIQUE,NUNOA,587
IQUIQUE,POZO ALMONTE,678
IQUIQUE,SANTIAGO,1232
IQUIQUE,VALPARAISO,606
IQUIQUE,VINA DEL MAR,1107
ISLA DE MAIPO,ISLA DE MAIPO,31581
ISLA DE MAIPO,TALAGANTE,515
LA CISTERNA,BUIN,549
LA CISTERNA,EL BOSQUE,1315
LA CISTERNA,LA CISTERNA,63710
LA CISTERNA,LA FLORIDA,1077
LA CISTERNA,LA GRANJA,503
LA CISTERNA,MAIPU,777
LA CISTERNA,PUENTE ALTO,1081
LA CISTERNA,SAN BERNARDO,1417
LA CISTERNA,SAN MIGUEL,2098
LA CISTERNA,SAN RAMON,759
LA CISTERNA,SANTIAGO,1367
LA CRUZ,LA CRUZ,18258
LA CRUZ,QUILLOTA,953
LA ESTRELLA,LA ESTRELLA,2836
LA FLORIDA,BUIN,1180
LA FLORIDA,COLINA,614
LA FLORIDA,EL BOSQUE,592
LA FLORIDA,ESTACION CENTRAL,764
LA FLORIDA,LA CISTERNA,1144
LA FLORIDA,LA FLORIDA,285267
LA FLORIDA,LA GRANJA,1569
LA FLORIDA,LA PINTANA,1133
LA FLORIDA,LA REINA,603
LA FLORIDA,LAMPA,641
LA FLORIDA,LAS CONDES,1148
LA FLORIDA,MACUL,2505
LA FLORIDA,MAIPU,1409
LA FLORIDA,NUNOA,3259
LA FLORIDA,PENALOLEN,3125
LA FLORIDA,PIRQUE,557
LA FLORIDA,PROVIDENCIA,1183
LA FLORIDA,PUDAHUEL,507
LA FLORIDA,PUENTE ALTO,12433
LA FLORIDA,SAN BERNARDO,1292
LA FLORIDA,SAN JOAQUIN,1078
LA FLORIDA,SAN MIGUEL,1680
LA FLORIDA,SANTIAGO,4034
LA GRANJA,LA CISTERNA,853
LA GRANJA,LA FLORIDA,2136
LA GRANJA,LA GRANJA,89250
LA GRANJA,LA PINTANA,1560
LA GRANJA,MAIPU,503
LA GRANJA,PUENTE ALTO,2426
LA GRANJA,SAN BERNARDO,778
LA GRANJA,SAN JOAQUIN,546
LA GRANJA,SAN MIGUEL,646
LA GRANJA,SAN RAMON,784
LA GRANJA,SANTIAGO,1019
LA HIGUERA,LA HIGUERA,3588
LA LIGUA,LA LIGUA,31716
LA PINTANA,BUIN,555
LA PINTANA,EL BOSQUE,1438
LA PINTANA,LA CISTERNA,983
LA PINTANA,LA FLORIDA,1451
LA PINTANA,LA GRANJA,1219
LA PINTANA,LA PINTANA,142732
LA PINTANA,MAIPU,540
LA PINTANA,PUENTE ALTO,3979
LA PINTANA,SAN BERNARDO,2405
LA PINTANA,SAN MIGUEL,593
LA PINTANA,SAN RAMON,822
LA PINTANA,SANTIAGO,1167
LA REINA,LA FLORIDA,698
LA REINA,LA REINA,65533
LA REINA,LAS CONDES,3054
LA REINA,MACUL,559
LA REINA,NUNOA,2721
LA REINA,PENALOLEN,2169
LA REINA,PROVIDENCIA,1392
LA REINA,SANTIAGO,991
LA SERENA,ANTOFAGASTA,880
LA SERENA,COPIAPO,756
LA SERENA,COQUIMBO,5793
LA SERENA,LA SERENA,195463
LA SERENA,LAS CONDES,626
LA SERENA,NUNOA,566
LA SERENA,OVALLE,899
LA SERENA,SANTIAGO,1019
LA SERENA,VALLENAR,580
LA SERENA,VICUNA,708
LA UNION,LA UNION,32177
LAGO RANCO,LAGO RANCO,7953
LAGO VERDE,LAGO VERDE,587
LAJA,LAJA,20131
LAMPA,COLINA,882
LAMPA,LAMPA,93852
LAMPA,QUILICURA,982
LAMPA,SANTIAGO,806
LANCO,LANCO,13880
LAS CABRAS,LAS CABRAS,21590
LAS CONDES,COLINA,3349
LAS CONDES,CONCON,721
LAS CONDES,HUECHURABA,772
LAS CONDES,LA FLORIDA,823
LAS CONDES,LA REINA,3041
LAS CONDES,LAS CONDES,210276
LAS CONDES,LO BARNECHEA,6050
LAS CONDES,MACUL,654
LAS CONDES,NUNOA,4848
LAS CONDES,PENALOLEN,1267
LAS CONDES,PROVIDENCIA,6372
LAS CONDES,PUERTO VARAS,794
LAS CONDES,SANTIAGO,2384
LAS CONDES,VINA DEL MAR,1315
LAS CONDES,VITACURA,7334
LAUTARO,LAUTARO,33810
LAUTARO,TEMUCO,658
LEBU,LEBU,22141
LICANTEN,LICANTEN,5663
LIMACHE,LIMACHE,41530
LIMACHE,OLMUE,604
LINARES,LINARES,80911
LINARES,LONGAVI,570
LINARES,TALCA,961
LINARES,YERBAS BUENAS,555
LITUECHE,LITUECHE,5691
LLAILLAY,LLAILLAY,21406
LLANQUIHUE,LLANQUIHUE,14409
LO BARNECHEA,COLINA,712
LO BARNECHEA,LAS CONDES,3620
LO BARNECHEA,LO BARNECHEA,84479
LO BARNECHEA,PROVIDENCIA,677
LO BARNECHEA,VITACURA,2885
LO ESPEJO,CERRILLOS,799
LO ESPEJO,EL BOSQUE,659
